IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_CODE
Футбол;;"&nbsp; Застройщик ПЖСК ""Футбол""&nbsp;работает на&nbsp;строительном&nbsp;рынке Сочи с 2009 года. Основным направлением деятельности компании является строительство жилых объектов недвижимости.&nbsp;В списке проектов ПЖСК ""Футбол"" числится возведение&nbsp;таких объектов недвижимости как: ""Арена-1"" - многоквартирный 8-этажный жилой комплекс и&nbsp;""Арена -2"" - многоквартирный 7-этажный жилой комплекс, расположенные в Адлерском районе.";futbol
Мега-Траст;/upload/iblock/24d/24d9c5df5e08f9be949cfa2d0e3fac3d.png;"<br>
 &nbsp; Компания ЗАО «Мега-Траст» - московский застройщик и инвестор строительства недвижимости Сочи. Компания отвечает всем принципам надежности и имеет многолетний опыт работы на рынке недвижимости.<br>
 &nbsp; У застройщика московские требования к качеству строительства, разрешениям и документам на продаваемые квартиры.&nbsp;<br>
 Продажа квартир осуществлялась только в сданных новостройках со всеми подключенными коммуникациями.<br>
&nbsp; Сданный в 2007 и полностью заселенный дом ЖК «Бригантина», состоящий из трёх домов, ЖК ""Бригантина 4"" отличающийся от первых трёх домов проектом и планировками&nbsp;и Жилой комплекс ""Атаман"" были полностью распроданы застройщиком в короткие сроки.<br>";mega-trast
Ростехинвест;;;rostekhinvest
Development Group;/upload/iblock/e03/e03504acb0ad955b2bebce05ca3b2410.png;"<br>
<br>
&nbsp; Строительная компания «Development Group» позиционирует себя как надежный застройщик с многолетним опытом работы на рынке недвижимости. Компания построила и успешно ввела в эксплуатацию многочисленные многоквартирные комплексы и коммерческую недвижимость в Сочи. В «Development Group» собрана&nbsp;команда из специалистов с многолетнем опытом работы.&nbsp;";development-group
Косов Олег Анатольевич ИП;;;kosov-oleg-anatolevich
РИК Строй Инвест;/upload/iblock/b50/b50c9d88c2264834447050a6210f6480.png;"<br>
<br>
 &nbsp; Целями строительной компании РИК Строй Инвест деятельности компании является расширение рынка товаров и услуг.<br>
 Компания активно занимается&nbsp;строительством зданий и сооружений, ремонтом оборудования, монтажом&nbsp;инженерного оборудования зданий и сооружений и многим другим.<br>
 Для каждого покупателя компания разрабатывает гибкую систему оплаты - составляются индивидуальные графики платежей, предоставляются индивидуальные условия.<br>
Компания обеспечивает юридическую защиту всех проводимых сделок, независимо от того, какого класса недвижимость рассматривается потенциальными покупателями";rik-stroy-invest
MAAGroup;/upload/iblock/6b1/6b194726a15a367d66690d7283f6db2a.jpg;"<div>
 <br>
	 &nbsp; &nbsp;MAAGroup - успешная компания в сфере строительства многоквартирных домов и коттеджных поселков. Работает на рынке уже 12 лет. За это время постоянными клиентами и партнерами MAAGroup&nbsp;стали уже более 3000 тысяч человек. Несмотря на экономическую нестабильность компания может предложить нашим клиентам наивысшее качество строительных объектов, минимальные сроки и низкие цены. <br>
	&nbsp; У Компании MAAGroup большой спектр услуг, которые включает в себя: строительство многоквартирных домов, индиви­­дуальный дизайн внутренних помещений.
</div>
<div>
	<br>
</div>";maagroup
Остринский;/upload/iblock/9f9/9f991bd5c80ee92def5e8e259d6626ab.jpg;"<br>
<br>
&nbsp; Строительно инвестиционная компания ""Остринский"" - это одна из ведущих компаний с высоким уровнем производства и современной технологией в сфере гражданского строительства и отделочных работ. На сегодняшний день возведено порядка 139 822 м2 жилой площади в нескольких городах России. Работы в сфере строительства характеризует высокое качество и короткие сроки возведения объектов. В городе Сочи ""Остринский"" представляет на выбор покупателей множество жилых комплексов по оригинальным проектам различного класса в разных районах города и на разных стадиях готовности.";ostrinskiy
Империал-Инвест;/upload/iblock/e46/e461e640dd4e52f6143c91b5a2480c37.png;"<br>
&nbsp; Компания «Империал-Инвест» известна на рынке недвижимости Сочи с 2015 года. Это молодое предприятие, которое динамично развивается. Застройщик «Империал-Инвест» имеет свою стратегию, а в компании работает отлично слаженная команда профессионалов различного профиля. Все специалисты имеют опыт в строительной индустрии, и все время совершенствуются, посещают семинары и курсы. Все проекты реализовываются по нормам и стандартам современного строительства.&nbsp;В данный момент компания «Империал-Инвест» реализовывает жилой комплекс «Горный-5». В нем можно купить квартиру от застройщика «Империал-Инвест» в Сочи различной площади и планировки. В районе есть все элементы инфраструктуры и удобная транспортная система.";imperial-invest
РЖДстрой;/upload/iblock/ccc/ccc6b88fd3a064b9afce3b120be2a85d.png;"<br>
&nbsp; В структуру Общества входят 16 строительно-монтажных трестов, управляющих линейными предприятиями — строительно-монтажными поездами и строительными участками; 3 специализированных филиала, а также Дирекция Выделенных Проектов: обособленное структурное подразделение для организации строительства объектов Олимпиады-2014. В Сочи АО ""РЖДстрой"" реализует крупные проекты жилых комплексов, состоящих из нескольких корпусов.";rzhdstroy
